title,langcode,field_abbreviation,field_policies,field_icon
Design,en,DS,"Policy 1 (Theme A, Design):Policy 2 (Theme A, Design):Policy 3 (Theme A, Design):Policy 4 (Theme A, Design):Policy 5 (Theme A, Design):Policy 6 (Theme A, Design):Policy 7 (Theme A, Design):Policy 8 (Theme A, Design):Policy 9 (Theme A, Design):Policy 10 (Theme A, Design):Policy 11 (Theme A, Design):Policy 12 (Theme A, Design):Policy 13 (Theme A, Design)",Design.png
Density,en,DN,"Policy 1 (Theme A, Density):Policy 2 (Theme A, Density):Policy 3 (Theme A, Density):Policy 4 (Theme A, Density):Policy 5 (Theme A, Density):Policy 6 (Theme A, Density)",Density.png
Equity,en,EQ,"Policy 1 (Theme A, Equity):Policy 2 (Theme A, Equity):Policy 3 (Theme A, Equity):Policy 4 (Theme A, Equity):Policy 5 (Theme A, Equity):Policy 6 (Theme A, Equity):Policy 7 (Theme A, Equity):Policy 8 (Theme A, Equity)",Equity.png
Protection,en,PR,"Policy 1 (Theme B, Protection):Policy 2 (Theme B, Protection):Policy 3 (Theme B, Protection):Policy 4 (Theme B, Protection):Policy 5 (Theme B, Protection):Policy 6 (Theme B, Protection):Policy 7 (Theme B, Protection):Policy 8 (Theme B, Protection):Policy 9 (Theme B, Protection):Policy 10 (Theme B, Protection)",Protection.png
Sustainability,en,SU,"Policy 1 (Theme B, Sustainability):Policy 2 (Theme B, Sustainability):Policy 3 (Theme B, Sustainability):Policy 4 (Theme B, Sustainability):Policy 5 (Theme B, Sustainability):Policy 6 (Theme B, Sustainability):Policy 7 (Theme B, Sustainability):Policy 8 (Theme B, Sustainability):Policy 9 (Theme B, Sustainability):Policy 10 (Theme B, Sustainability):Policy 11 (Theme B, Sustainability):Policy 12 (Theme B, Sustainability):Policy 13 (Theme B, Sustainability)",Sustainability.png
Restoration,en,RE,"Policy 1 (Theme B, Restoration):Policy 2 (Theme B, Restoration):Policy 3 (Theme B, Restoration):Policy 4 (Theme B, Restoration)",Restoration.png
Livability,en,LI,"Policy 1 (Theme C, Livability):Policy 2 (Theme C, Livability):Policy 3 (Theme C, Livability):Policy 4 (Theme C, Livability):Policy 5 (Theme C, Livability):Policy 6 (Theme C, Livability):Policy 7 (Theme C, Livability):Policy 8 (Theme C, Livability):Policy 9 (Theme C, Livability)",Livability.png
Diversity,en,DI,"Policy 1 (Theme C, Diversity):Policy 2 (Theme C, Diversity):Policy 3 (Theme C, Diversity):Policy 4 (Theme C, Diversity):Policy 5 (Theme C, Diversity):Policy 6 (Theme C, Diversity)",Diversity.png
Prosperity,en,PS,"Policy 1 (Theme C, Prosperity):Policy 2 (Theme C, Prosperity):Policy 3 (Theme C, Prosperity):Policy 4 (Theme C, Prosperity):Policy 5 (Theme C, Prosperity):Policy 6 (Theme C, Prosperity):Policy 7 (Theme C, Prosperity):Policy 8 (Theme C, Prosperity):Policy 9 (Theme C, Prosperity):Policy 10 (Theme C, Prosperity):Policy 11 (Theme C, Prosperity):Policy 12 (Theme C, Prosperity):Policy 13 (Theme C, Prosperity)",Prosperity.png
Connectivity,en,CO,"Policy 1 (Theme D, Connectivity):Policy 2 (Theme D, Connectivity):Policy 3 (Theme D, Connectivity):Policy 4 (Theme D, Connectivity):Policy 5 (Theme D, Connectivity):Policy 6 (Theme D, Connectivity)",Connectivity.png
Placemaking,en,PL,"Policy 1 (Theme D, Placemaking):Policy 2 (Theme D, Placemaking):Policy 3 (Theme D, Placemaking):Policy 4 (Theme D, Placemaking):Policy 5 (Theme D, Placemaking):Policy 6 (Theme D, Placemaking):Policy 7 (Theme D, Placemaking):Policy 8 (Theme D, Placemaking):Policy 9 (Theme D, Placemaking):Policy 10 (Theme D, Placemaking):Policy 11 (Theme D, Placemaking):Policy 12 (Theme D, Placemaking):Policy 13 (Theme D, Placemaking):Policy 14 (Theme D, Placemaking):Policy 15 (Theme D, Placemaking)",Placemaking.png
Support,en,SP,"Policy 1 (Theme D, Support):Policy 2 (Theme D, Support):Policy 3 (Theme D, Support):Policy 4 (Theme D, Support):Policy 5 (Theme D, Support):Policy 6 (Theme D, Support):Policy 7 (Theme D, Support):Policy 8 (Theme D, Support):Policy 9 (Theme D, Support)",Support.png
Accountability,en,AC,"Policy 1 (Theme E, Accountability):Policy 2 (Theme E, Accountability):Policy 3 (Theme E, Accountability):Policy 4 (Theme E, Accountability):Policy 5 (Theme E, Accountability):Policy 6 (Theme E, Accountability)",Accountability.png
Stewardship,en,ST,"Policy 1 (Theme E, Stewardship):Policy 2 (Theme E, Stewardship):Policy 3 (Theme E, Stewardship):Policy 4 (Theme E, Stewardship):Policy 5 (Theme E, Stewardship):Policy 6 (Theme E, Stewardship):Policy 7 (Theme E, Stewardship):Policy 8 (Theme E, Stewardship):Policy 9 (Theme E, Stewardship)",Stewardship.png
Growth,en,GR,"Policy 1 (Theme E, Growth):Policy 2 (Theme E, Growth):Policy 3 (Theme E, Growth):Policy 4 (Theme E, Growth):Policy 5 (Theme E, Growth):Policy 6 (Theme E, Growth):Policy 7 (Theme E, Growth):Policy 8 (Theme E, Growth):Policy 9 (Theme E, Growth):Policy 10 (Theme E, Growth):Policy 11 (Theme E, Growth)",Growth.png