title,field_policy_number,body,langcode,field_topics,field_goals,field_objectives
Theme A - Design Policy 1,1,"Utilize a people-first design, ensuring that roadways are moving people efficiently and providing pedestrian infrastructure that is context sensitive to the vehicle environment and land uses.",en,"topic: Transportation, Health",A3:A4:B2:D1:D2,A3b:A4a:A4c:B2d:C2d:D1a:D1b:D1c:D1d:E1b
Theme A - Design Policy 2,2,Ensure proper road connections are in place to enhance service times and access to fire and police services for all residents.,en,"topic: Transportation, Health, Community Facilities",A4:D1:D2,A4c:D1a:D1d:D2a:E1b
Theme A - Design Policy 3,3,Multi-family residential developments should comply with the multi-family design standards in Appendix A.,en,"topic: Housing, Quality of Life",A2:A3:B2,A1a:A1d:A2b:A2c:A2d:A2e:A3a:A3b:A3c:A3d:B2b:C2d:E1b
Theme A - Design Policy 4,4,Provide development that is sensitive to the surrounding context.,en,"topic: Transportation, Economic Development, Health, Quality of Life",A2:A3:B2:B3:C1:C2:D1:D2:D3:E1,A1a:A1b:A1d:A2b:A3a:B2a:B2b:B2c:B3b:B3c:C1a:C1d:C2a:C2b:C2d:D1a:D1b:D2c:D3a:D3b:D3c:E1b:E1d
Theme A - Design Policy 5,5,Provide pedestrian friendly street patterns and walkable blocks to create inviting streetscapes.,en,"topic: Transportation, Health, Quality of Life",A3:B2:D1:D2,A1a:A1c:A3b:A4a:B2d:C2d:D1a:D1b:E1b
Theme A - Design Policy 6,6,"Adhere to the recommendations of the Lexington Area MPO Bike/Pedestrian Master Plan, adopted in 2018.",en,"topic: Transportation, Economic Development, Health, Quality of Life",A3:A4:B2:D1:D2,A2d:A3b:A4a:B2d:C1d:C2a:C2d:D1a:D1b:D1c:D1d:E1b
Theme A - Design Policy 7,7,Design car parking areas so as not to be the primary visual component of the neighborhood.,en,"topic: Transportation, Quality of Life",A2:A3:B2,A1a:A2b:A2c:A2d:A3a:A3b:E1b
Theme A - Design Policy 8,8,Provide varied housing choice.,en,topic: Housing,A1:A2:A3:E1,A1a:A1b:A1c:A1d:A2a:A3a:A3b:C2d:E1a:E1b:E1c:E1d
Theme A - Design Policy 9,9,Provide adequate greenspace for all neighborhoods within walking distance.,en,"topic: Economic Development, Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B2:C2:D2,A1a:A2c:A2d:A3b:A3c:A3d:B2b:B2d:C2d:E1b
Theme A - Design Policy 10,10,Provide neighborhood focal points accessible to all residents.,en,"topic: Transportation, Economic Development, Greenspace, Quality of Life, Community Facilities",A3:A4:B2:C2:D1:D2,A1a:A1d:A2c:A2d:A3a:A3b:A3c:A3d:A4a:B2b:B2d:C1d:C2a:C2d:D1a:D1b:E1b
Theme A - Design Policy 11,11,Single loaded streets should be utilized in order to establish clear public access to neighborhood focal points.,en,"topic: Transportation, Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B3:D1:D2,A1a:A1c:A2c:A2d:A3b:A4a:B2b:B2d:B3b:B3c:C1d:C2d:D2a:D2c:E1b
Theme A - Design Policy 12,12,Support neighborhood level commercial areas.,en,"topic: Housing, Transportation, Economic Development, Health, Quality of Life",A1:A2:A3:B2:C1:D1:D2:E1,A1a:A1b:A1d:A2a:A2b:A2d:A3a:A3b:B2d:C1a:C2a:C2d:D1a:D1b:E1a:E1b:E1d
Theme A - Design Policy 13,13,Development should connect to adjacent stub streets and maximize the street network.,en,"topic: Transportation, Health",A3:B2:D1:D2,A3b:A4c:D1a:D1b:D1d:D2a:E1b
Theme A - Density Policy 1,1,The highest density of our residential development should be directed to our major corridors and downtown.,en,"topic: Housing, Transportation, Economic Development",A1:A2:A3:B2:D1:E1,A1a:A1b:A1d:A2a:A2b:A2d:B2a:B2c:B2d:C2d:D1a:D1b:D1c:E1a:E1b:E1c:E1d:E1e
Theme A - Density Policy 2,2,Infill residential can and should aim to increase density while enhancing existing neighborhoods through context sensitive design.,en,"topic: Housing, Quality of Life",A1:A2:A3:B2:E1,A1b:A1c:A1d:A2a:A2b:A2c:A2d:A3a:A3b:B2b:C2d:D2a:E1a:E1b:E1d:E1e
Theme A - Density Policy 3,3,"Create opportunities for additional neighborhood supportive uses, especially in areas where services are lacking.",en,"topic: Economic Development, Quality of Life",A1:A2:A3:C1:D1:D2:E1,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:C1a:C2a:C2b:C2d:D1a:D1b:E1b:E1d
Theme A - Density Policy 4,4,"Generally, locate high-density areas of development along higher capacity roadways (minor arterial, collector) to facilitate future transit enhancements.",en,"topic: Housing, Transportation, Economic Development",A1:A2:A3:B2:D1,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:B2c:B2d:C2a:C2d:D1a:D1b:D1c:E1b:E1d
Theme A - Density Policy 5,5,Provide affordable and/or compact residential options through Accessory Dwelling Units.,en,topic: Housing,A1:A2:A3:B2:E1,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:B2a:C2d:E1a:E1b:E1d
Theme A - Density Policy 6,6,Allow and encourage new compact single-family housing types.,en,topic: Housing,A1:A2:A3:B2:E1,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:B2a:C2d:E1a:E1b:E1d
Theme A - Equity Policy 1,1,Meet the demand for housing across all income levels.,en,"topic: Housing, Quality of Life",A1:A2,A1a:A1b:A1d:A2a:A2d:C2d:E1b
Theme A - Equity Policy 2,2,"Provide affordable housing across all areas, affirmatively furthering fair housing, complying with HUD guidance.",en,"topic: Housing, Quality of Life",A1:C2,A1d:A2d:C2d:E1b
Theme A - Equity Policy 3,3,Add residential opportunities by proactively up-zoning areas near transit for populations who rely solely on public transportation.,en,"topic: Housing, Transportation, Economic Development, Quality of Life",A1:A2:A3:B2:D1,A1a:A1b:A1d:A2a:A2d:B2c:B2d:C2a:C2d:D1a:D1b:D1c:E1b:E1c
Theme A - Equity Policy 4,4,"Preserve and enhance existing affordable housing through the land bank, community land trust and vacant land commission.",en,"topic: Housing, Quality of Life",A1:A2:C2,A1a:A1c:A1d:A2d:A3b:E1b
Theme A - Equity Policy 5,5,Protect affordable housing tenants through improved code enforcement policies.,en,"topic: Housing, Quality of Life",C2,A1a:A1c:A1d:A2d:A3a:A3b:E1b
Theme A - Equity Policy 6,6,Provide flexibility for senior housing through Accessory Dwelling Units.,en,"topic: Housing, Quality of Life",A1:A2:A3,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:E1b
Theme A - Equity Policy 7,7,Community facilities should be well integrated into their respective neighborhoods.,en,"topic: Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B2:D1:D2,A1a:A2c:A3a:A3b:A4a:A4b:B2b:C2d:D1a:D1b:D2b:D2c:E1b
Theme A - Equity Policy 8,8,Housing developments should implement Universal Design principles on a portion of their units.,en,"topic: Housing, Quality of Life",A1:A3:D2,A1a:A1b:A1c:A2d:A3b:C2d:E1b
Theme B - Protection Policy 1,1,Continue the Sanitary Sewer Capacity Assurance Program (CAP) and encourage the Stormwater Incentive Grant program to reduce impacts of development on water quality.,en,"topic: Health, Community Facilities",B1,E1b
Theme B - Protection Policy 2,2,"Conserve environmentally sensitive areas, including significant natural habitats, wetlands and water bodies.",en,"topic: Agriculture, Greenspace",B3:D3:E2,A3c:A3d:B3b:E1b:E2a:E2b
Theme B - Protection Policy 3,3,Continue to implement PDR program to safeguard Lexington’s rural land.,en,"topic: Agriculture, Greenspace",D3:E1,B2b:B3b:B3d:C1d:E1b:E2a:E2b
Theme B - Protection Policy 4,4,Conserve active agriculture land in the Rural Service Area while promoting a creative food chain network.,en,"topic: Economic Development, Agriculture, Health, Quality of Life",D3:E1:E2,B2b:B3b:C1b:E1b:E2a:E2b
Theme B - Protection Policy 5,5,Promote and connect local farms with the community through integrated partnerships.,en,"topic: Economic Development, Agriculture, Greenspace, Health, Quality of Life",E2,B2b:B3d:C1b
Theme B - Protection Policy 6,6,Promote context- sensitive agritourism in the Rural Service Area.,en,"topic: Economic Development, Agriculture, Quality of Life",D3:E2,B2b:C1b:C1d:C2a:E2a
Theme B - Protection Policy 7,7,"Protect sensitive natural habitats and wildlife in the Urban Service Area, protect the urban forest, and significant tree canopies in crucial ecological networks.",en,"topic: Greenspace, Health",B3,A2c:A3c:A3d:B3b
Theme B - Protection Policy 8,8,Integrate the Greenspace Plan into urban and rural area.,en,"topic: Agriculture, Greenspace, Quality of Life",B3:D3:E2,A2c:A3c:A3d:B3a:B3b:B3c:B3d:C2d:D1b:E1b:E2a:E2b
Theme B - Protection Policy 9,9,"Respect the geographic context of natural land, encourage development to protect steep slope; and locate building structures to reduce unnecessary earth disruption.",en,topic: Greenspace,,A2b:A3c:B2c:B3a:B3b:E1b
Theme B - Protection Policy 10,10,Install iconic rural fencelines around major greenways and creeks to enhance their natural beauty.,en,"topic: Greenspace, Quality of Life",B3:D3:E2,C1b:C2d:E2a
Theme B - Sustainability Policy 1,1,Develop a multi-modal transportation network and infrastructure; seek collaboration with regional transit partners for the commuting public.,en,"topic: Transportation, Health",B2:D1:D2:F3,A3b:A4a:A4b:A4c:B2d:D1a:D1b:D1c:D1d:E1b:F3a:F3b
Theme B - Sustainability Policy 2,2,"Promote roadway, pedestrian and bicycle connectivity.",en,"topic: Transportation, Health",B2:D1:D2,A3b:A4a:A4b:A4c:B2d:D1a:D1b:D1c:E1b
Theme B - Sustainability Policy 3,3,"Encourage Transit-Oriented Development, increase density along major corridors and in the Infill and Redevelopment Area to support transit ridership, thus reducing vehicle miles traveled (VMT).",en,"topic: Housing, Transportation, Economic Development, Health",A1:A2:B2:D1:E1,A1a:A1b:A1c:A1d:A2a:B2c:B2d:C2a:D1a:D1b:D1c:E1b:E1c:E1d
Theme B - Sustainability Policy 4,4,"Make recommendations to locate new development within walking distance of existing greenspace / community centers, or create greenspace / community centers within walking distance of residential uses.",en,"topic: Housing, Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B3:D1:D2,A1a:A2c:A3b:A3c:A3d:A4a:A4b:B2b:B3b:C2d:D1a:D2b:D2c:E1b
Theme B - Sustainability Policy 5,5,"Reduce / discourage vehicle oriented development patterns, such as drive-through businesses within the Urban Service Boundary, especially in the urban core areas. Reduce parking footprints.",en,"topic: Transportation, Health",A3:B2:E1,B2d:E1b:E1c:E1d
Theme B - Sustainability Policy 6,6,"Apply traffic mitigation programs, such as communication with employers to encourage flexible work schedules or telecommuting.",en,"topic: Transportation, Economic Development, Health",B2:D1,B2a:C1a:C2a:C2b:D1d:E1b
Theme B - Sustainability Policy 7,7,"Continue and expand energy efficiency initiatives, promote energy efficient buildings by supporting grants and public recognition.",en,topic: Health,A3:B3:D2,A1a:A2d:B2a:B2c:E1b
Theme B - Sustainability Policy 8,8,Encourage Lexington to join the STAR Community rating program.,en,"topic: Housing, Transportation, Economic Development, Agriculture, Greenspace, Health, Quality of Life, Community Facilities",A1:A2:A3:A4:B1:B2:B3:C1:C2:C3:D1:D2:D3:D4:E1:E2:E3:E4:F1:F2:F3,A1a:A1b:A1c:A1d:A2a:A2b:A2c:A2d:A2e:A3a:A3b:A3c:A3d:A4a:A4b:A4c:B2a:B2b:B2c:B2d:B3a:B3b:B3c:B3d:C1a:C1b:C1c:C1d:C1e:C2a:C2b:C2c:C2d:D1a:D1b:D1c:D1d:D2a:D2b:D2c:D3a:D3b:D3c:E1a:E1b:E1c:E1d:E1e:E2a:E2b:E4a:E4b:E4c:E4d:F1a:F1b:F1c:F1d:F2a:F2b:F2c:F3a:F3b
Theme B - Sustainability Policy 9,9,Develop and proactively share educational materials and programs to increase public awareness of energy efficiency benefits and services.,en,topic: Health,A3:B2:B3:F1,B2a:B2b:B2c:B3a:B3c:E1b:F1a:F1b:F1c:F1d:F2b
Theme B - Sustainability Policy 10,10,Enhance Lexington’s recycling and waste management programs.,en,"topic: Health, Community Facilities",A3:B2:B3:F1,B3d:E1b:F1a
Theme B - Sustainability Policy 11,11,"Require green infrastructure elements for new development, and require during redevelopment where appropriate.",en,"topic: Greenspace, Health, Community Facilities",A3:B3,A1a:A2b:A2c:A3c:A3d:B3a:B3c:C1d:D1b:E1b
Theme B - Sustainability Policy 12,12,Encourage and explore incentives for green building practices for new development and redevelopment.,en,"topic: Economic Development, Greenspace, Health",B2:B3,A1a:A2d:A3a:B2a:B2b:B2c:E1b
Theme B - Sustainability Policy 13,13,Develop an overarching entity / organization for existing environmentally-focused agencies to collaborate on sustainability programs and follow through on implementation.,en,"topic: Greenspace, Health, Quality of Life",,B3d
Theme B - Restoration Policy 1,1,"Follow the LFUCG Urban Forestry Management Plan, protecting and recovering Lexington’s urban forest by strategically planting new trees and creating walkable streetscapes.",en,"topic: Greenspace, Health, Quality of Life",B2:B3,A3c:A3d:B2b:B2d:B3b:B3c:E1b
Theme B - Restoration Policy 2,2,Use green infrastructure to bridge gaps in the greenspace network.,en,"topic: Greenspace, Health, Quality of Life",B3,A2c:A3c:B3a:B3c:E1b
Theme B - Restoration Policy 3,3,Support community gardens and urban agriculture to restore natural resources within the Urban Service Area.,en,"topic: Agriculture, Greenspace, Health, Quality of Life, Community Facilities",B2:B3,A2c:B2b:C1a:C1b:E1b
Theme B - Restoration Policy 4,4,Improve air quality by reducing vehicle miles traveled (VMT). ,en,"topic: Transportation, Health",A3:B2:D1,A3b:A4a:A4b:A4c:B2d:C1e:C2a:D1a:D1b:D1c:D1d:E1b:E1c:E1d
Theme C - Livability Policy 1,1,Encourage economic opportunities for a wide array of agritourism while preserving the Bluegrass identity.,en,"topic: Economic Development, Agriculture, Greenspace",B3:D3:E1:E2,B2b:C1b:C1d:C2a:C2d:D3a:E1b:E2a:E2b
Theme C - Livability Policy 2,2,"Emphasize the preservation, protection, and promotion of the iconic Bluegrass landscape along rural gateways and roadways serving as primary tourist routes.",en,"topic: Transportation, Economic Development, Agriculture, Greenspace",B3:D3:E1:E2,B2b:B3b:C1b:C1d:D3a:E1b:E2a:E2b
Theme C - Livability Policy 3,3,Create a large regional athletic field complex for economic development and to enhance Lexington’s existing facilities.,en,"topic: Economic Development, Greenspace, Health, Quality of Life, Community Facilities",A4:C1:D2,C1d:C2d:E1b:E1e
Theme C - Livability Policy 4,4,"Continue to coordinate transportation logistics and traffic control for recurring special events, festivals, and parades.",en,"topic: Transportation, Economic Development",B2:D1,C1d:C2d:D1b:D1d:E1b
Theme C - Livability Policy 5,5,"Enhance programs and activities by Lexington’s Parks and Recreation Department, and support public event planning, community events, and festivals.",en,"topic: Economic Development, Quality of Life, Community Facilities",,C1d:C2d:D1b:E1b
Theme C - Livability Policy 6,6,"Attract and retain young professionals by improving affordable housing opportunities, amenities, and entertainment options that are attractive to them.",en,"topic: Housing, Economic Development, Quality of Life",A1:C2:D4,A1b:A1d:A2c:C2d:E1b
Theme C - Livability Policy 7,7,"Continue to create a true multimodal and mixed-use community with safe and quality access to community facilities, greenspace, employment, neighborhoods businesses, shopping, and entertainment.",en,"topic: Housing, Transportation, Economic Development, Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B2:D1:D2,A1a:A1b:A1d:A2a:A2c:A3a:A3b:A4a:A4b:A4c:B2c:B2d:C1a:C2a:C2d:D1a:D1b:D1c:D2a:E1b:E1c:E1d
Theme C - Livability Policy 8,8,"Promote quality of life aspects, including greenspace, as an attraction to new businesses and residents.",en,"topic: Economic Development, Greenspace, Health, Quality of Life",A3:D3:D4,A1a:A1c:B2b:C1d:C2c:C2d:D1b:D1c:E1b
Theme C - Livability Policy 9,9,Promote economic development through the preservation of strategically and appropriately located industrial and production zoned land.,en,"topic: Economic Development, Quality of Life",C1:C2:C3:E1,C1a:C2a:C2b:C2c:E1b:E1d:E1e
Theme C - Diversity Policy 1,1,"Create opportunities for incubators. Seek incentives for owners of vacant office/laboratory space, and for developers who build incubator space for startups and for growing businesses.",en,topic: Economic Development,,C1a:C2b
Theme C - Diversity Policy 2,2,"Encourage a diverse economic base to provide a variety of job opportunities, allowing upward mobility for lower income residents of Fayette County",en,topic: Economic Development,C3,C1a:C2a:E1a:E1b
Theme C - Diversity Policy 3,3,"Support full funding and adequate staff for the Minority Business Enterprise Program (MBEP) which increases diversification of city vendors through promoting an increase in minority, veteran, and women-owned companies doing business with the city.",en,topic: Economic Development,,C1a:C2d:E1b
Theme C - Diversity Policy 4,4,"Encourage training, programs, and workforce inclusion opportunities for people with disabilities or judicial records, or who have undergone rehabilitation from addiction.",en,"topic: Economic Development, Health",C2:D2,A4b:C1a:C1c:D2b:D2c
Theme C - Diversity Policy 5,5,"Maximize context-sensitive employment opportunities within the Opportunity Zone tracts, providing equitable community development, and prioritizing local residents for advancement opportunities.",en,topic: Economic Development,C2,A2d:C1e:C2a:E1b:E1d
Theme C - Diversity Policy 6,6,Increase flexibility on types of home occupations allowed.,en,"topic: Housing, Economic Development",A3:C2:E1,A1d:A2d:A3a:C1a:C2a:C2b:C2c:E1b
Theme C - Prosperity Policy 1,1,"Promote hiring local residents, and recruit employees living in areas of construction projects.",en,topic: Economic Development,C2:C3,C1a:C1c:C1e:C2a:C2c
Theme C - Prosperity Policy 2,2,"Support the continued funding for Economic Development grants and the Commonwealth Infrastructure fund, as well as Lexington’s Public Infrastructure Fund.",en,"topic: Economic Development, Community Facilities",C3,A2d:C1a:C1c:C2c:D1b
Theme C - Prosperity Policy 3,3,"Continue to protect the Agricultural Cluster and equine industry, and support existing agricultural uses, while promoting new innovative agricultural uses in the Rural Service Area.",en,"topic: Economic Development, Agriculture, Greenspace",D3:E1:E2,B2b:C1b:C2a:C2d:E1b:E2a:E2b
Theme C - Prosperity Policy 4,4,Encourage installation of fiber-optic broadband infrastructure for high-tech and other industries. ,en,"topic: Transportation, Economic Development, Health, Quality of Life, Community Facilities",C2,C2a:C2b:C2c:C2d:D1d:E1b
Theme C - Prosperity Policy 5,5,Continue to raise awareness of farms and farm tours.,en,"topic: Economic Development, Agriculture, Greenspace",B3:D3:E2,B2b:C1b:C1d:C2a:C2d:E2a:E2b
